time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-11-16 09:30:00-05:00,MLTrader,d1bf81f5a846493e8deb8d036976a7cc,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,28c07be13591474a8b81efc1f9d50f25,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,5d1d4b78cdba4976a514b0ddb124bfd4,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,7d006cbf7f254ea1b1c25889e89573f9,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,dd05e06e287a4843abc64ed8de2eb011,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,48c23d1398e94b9596a6952969a721fd,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,eae90f12c1164decb7ba218da231e2ca,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,11819f5839da488ab721ddea2f7fb34f,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,f66e8d8f889744ba8fa8fa0b33b5cf54,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,0d9b4b78b64741c8bd5f4ef0817b1c6d,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,41a8aeabb3884ba28ac507b96a4640a2,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,3541854aeb59486eb151eac693a6c97e,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,0ae4724797a140969bedae436705c5b2,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,e71209851f624809a1086f9bfacd6e4b,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,3c6e11cfa7204ac6b94e529018980de7,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,bbba8f241434434e849ffd732bacc49e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,3c6e11cfa7204ac6b94e529018980de7,SPY,buy,market,fill,1,day,0.0,1,stock,449.2200012207031,10446.0,0.0
2023-11-16 09:30:00-05:00,MLTrader,bbba8f241434434e849ffd732bacc49e,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.2200012207031,5419.0,0.0
